Animal,Peso,Sexo,Idade,Raça,FC,FR,PAS,T°C,Oximetria,Hematócrito,Arquivo
,,Fêmea,,Graziela Campos Garibaldi     CRMV-SP 59006 ,,,,,,,Layla (Marcelo) 16-06.pdf
,,Macho,,Marianna Leite Siqueira     CRMV-SP 61.708 ,,,,,,,Leo (Lisa) 03-05.pdf
,,Fêmea,,Sara Gomes     CRMV-SP 64068 ,,,,,,,Leticia (Laura).pdf
,,F,"13a
Proprietário",Idade: 13a,,,,,,,Leticia_Fibrinogênio_27abr25.pdf
,,F,"13a
Proprietário",Idade: 13a,,,,,,,Leticia_Tricol_27abr25.pdf
,,Fêmea,,Alessandra Rinah Nogueira     CRMV-SP 26925 ,,,,,,,Lory (Danielle) 13-05.pdf
,,Fêmea,,Julia Vitoria De Almeida     CRMV-SP 70556 ,,,,,,,Lory (Danielle) 15-05.pdf
,,Fêmea,,Sara Gomes     CRMV-SP 64068 ,,,,,,,Lory (Danielle) 21-11.pdf
,,,,,,,,,,,Lory - Danielle Laudo de imunohistoquímica.pdf
,,Fêmea,,Vanessa Perrotta     CRMV-SP 18309 ,,,,,,,Louise (Ana) .pdf
,,Fêmea,,Carolina Canales     CRMV-SP 72930 ,,,,,,,Luna (Marina) 16-05.pdf
,,Fêmea,,Nathalia Cristina S. Souza     CRMV-SP 64.690 ,,,,,,,Luna (Marina) Albumina.pdf
,,Fêmea,"10 anos 
Requisitante",Yorkshire ,,,,,,,Luna 25.04.25 Pet Life ECO.pdf
,,Macho,,Julia Vitoria De Almeida     CRMV-SP 70556 ,,,,,,,Marley (Marcia) 09-05.pdf
,,Macho,,Carolina Canales     CRMV-SP 72930 ,,,,,,,Marley (Marcia) 12-05.pdf
,,Macho,,Carolina Canales     CRMV-SP 72930 ,,,,,,,Marley (Marcia) 14-05.pdf
,,Macho,,Carolina Canales     CRMV-SP 72930 ,,,,,,,Marley (Marcia) 16-05-1.pdf
,,Macho,,Carolina Canales     CRMV-SP 72930 ,,,,,,,Marley (Marcia) 16-05.pdf
,,Macho,,Nathalia Cristina S. Souza     CRMV-SP 64.690 ,,,,,,,Marley (Marcia) Citologia.pdf
,,Macho,,Yasmin Misleh De Matos     CRMV-SP 61764 ,,,,,,,Marley (Marcia) FR.pdf
,,Macho,,Caroline Aparecida Goncalves     CRMV-SP 37420 ,,,,,,,Marvin (Daniel) 20-07-1.pdf
,,M,"7A
Proprietário",Idade: 7A,,,,,,,Marvin_Bioquímicos_21jul24.pdf
,,M,"15a
Proprietário",Idade: 15a,,,,,,,Massu_20abr25.pdf
,,M,"15a
Proprietário",Idade: 15a,,,,,,,Massu_Fibrinogênio_20abr25.pdf
,,Macho,,Beatriz Tereno De Souza Pascoinelli     CRMV-SP 51619 ,,,,,,,Mate (Danielle) .pdf
,,Macho,,Jader Tomaz Dos Reis Costa     CRMV-SP 70049 ,,,,,,,Mate (Danielle) 05-05-25.pdf
,,Macho,,Julia Vitoria De Almeida     CRMV-SP 70556 ,,,,,,,Mate (Danielle) 05-05.pdf
,,Macho,,Carolina Canales     CRMV-SP 72930 ,,,,,,,Mate (Danielle) 06-05.pdf
,,M,"13A
Proprietário",Idade: 13A,,,,,,,Mate_04mai25.pdf
,,Fêmea,,Carolina Canales     CRMV-SP 72930 ,,,,,,,Matilda (Gabriella) 30-04-1.pdf
,,Fêmea,,Carolina Canales     CRMV-SP 72930 ,,,,,,,Matilda (Gabriella) 30-04.pdf
,,Macho,,Marianna Leite Siqueira     CRMV-SP 61.708 ,,,,,,,Matte (Raphael) 17-07.pdf
,,Macho,,Marianna Leite Siqueira     CRMV-SP 61.708 ,,,,,,,Matte (Raphael) 18-07.pdf
,,Fêmea,,Carolina Canales     CRMV-SP 72930 ,,,,,,,Meg (Fabiana) 12-05.pdf
,,Fêmea,,Carolina Canales     CRMV-SP 72930 ,,,,,,,Meg (Fabiana) 14-05.pdf
,,Fêmea,,Julia Vitoria De Almeida     CRMV-SP 70556 ,,,,,,,Meg (Fabiana) 15-05.pdf
,,Fêmea,,Yasmin Misleh De Matos     CRMV-SP 61764 ,,,,,,,Meg (Fabiana).pdf
,,Fêmea,,Patricia Frutuoso Da Silva     CRMV-SP 59.733 ,,,,,,,Meg (Patricia) .pdf
,,Fêmea,,Julia Vitoria De Almeida     CRMV-SP 70556 ,,,,,,,Meg (Thais) 29-04 COAGULAÇÃO.pdf
,,Fêmea,,Julia Vitoria De Almeida     CRMV-SP 70556 ,,,,,,,MEG - FABIANAA 13-5.pdf
,,F,"14 Anos
Sexo",,,,,,,,MEG SHIH TZU_20250407161421_Cardíaca.pdf
,,Fêmea,,Yasmin Misleh De Matos     CRMV-SP 61764 ,,,,,,,Mel (Adriane) 23-04.pdf
,,Fêmea,,Julia Vitoria De Almeida     CRMV-SP 70556 ,,,,,,,Mel (Amalia) 09-05.pdf
,,Fêmea,,Graziela Campos Garibaldi     CRMV-SP 59006 ,,,,,,,Mel (Amalia) 15-12.pdf
,,Macho,,Jader Tomaz Dos Reis Costa     CRMV-SP 70049 ,,,,,,,Murphy (Claudio) .pdf
,,Macho,,Thiago De Castilho E Lima     CRMV-SP 65.946 ,,,,,,,Nick (Giovanna) .pdf
,,Idade,29,Dt. Nasc.: ,,,,,,,nick.pdf
,,Fêmea,,Ana Paula Gomes De Oliveira     CRMV-SP 62649 ,,,,,,,Nina (Ana) -1.pdf
,,Fêmea,,Sergio Marques     CRMV-SP 39.118 ,,,,,,,Nina (Ana) 25-08.pdf
,,Fêmea,,Mayara Bispo Oliveira     CRMV-SP 67897 ,,,,,,,Nina (Robiney) .pdf
,,Fêmea,,Keilliany Knebel     CRMV-SP 36754 ,,,,,,,Nina (Robiney) 05-11 Pedido All Care.pdf
,,Fêmea,,Carolina Canales     CRMV-SP 72930 ,,,,,,,Nina (Robiney) 11-04.pdf
,,,,,,,,,,,Nina Robiney Laudo Imunohistoquímica.pdf
,,F,"13a
Proprietário",Idade: 13a,,,,,,,Nina_Lhasa_03set23.pdf
,,M,"9 anos 0mes 0dia
Tutor",SHIH TZU,,,,,,,null-2.pdf
,,,,,,,,,,,Orientações Pré-Cirúrgicas Bud.pdf
,,Macho,,Sergio Marques     CRMV-SP 39.118 ,,,,,,,Ozzy (Ana) 10-07.pdf
,,,,,,,,,,,Painel Hemoparasitose - 14.09.24.pdf
,,Fêmea,,Nathalia Cristina S. Souza     CRMV-SP 64.690 ,,,,,,,Panqueca (Marlon) .pdf
,,Fêmea,,Carolina Canales     CRMV-SP 72930 ,,,,,,,Panqueca (Marlon) 11-04.pdf
,,Fêmea,,Marianna Leite Siqueira     CRMV-SP 61.708 ,,,,,,,Panqueca (Marlon) 16-04.pdf
,,Fêmea,,Sara Gomes     CRMV-SP 64068 ,,,,,,,Panqueca (Marlon) Compatibilidade 16-04.pdf
,,Fêmea,,Larissa Alves Da Silva     CRMV-SP 69712 ,,,,,,,Panqueca (Marlon) Titulação 16-04.pdf
,,Fêmea,,Larissa Alves Da Silva     CRMV-SP 69712 ,,,,,,,panqueca - marlon PCR.pdf
,,F,"7A
Proprietário",Idade: 7A,,,,,,,Panqueca_13abr25.pdf
,,Macho,,Carolina Canales     CRMV-SP 72930 ,,,,,,,Paçoca (Otavio) .pdf
,,Macho,,Nathalia Cristina S. Souza     CRMV-SP 64.690 ,,,,,,,Paçoca (Otavio) Urina.pdf
,,Fêmea,,Nayra Villar Scattone     CRMV-SP 36148 ,,,,,,,Pequena (Adriana) .pdf
,,Fêmea,,Julia Vitoria De Almeida     CRMV-SP 70556 ,,,,,,,Pequena (Adriana) 10-05 TITUL.pdf
,,Fêmea,,Julia Vitoria De Almeida     CRMV-SP 70556 ,,,,,,,Pequena (Adriana) 10-05.pdf
,,Fêmea,,Julia Vitoria De Almeida     CRMV-SP 70556 ,,,,,,,Pequena (Adriana) 13-05.pdf
,,F,"13a
Proprietário",Idade: 13a,,,,,,,Pequena_11mai25.pdf
,,F,"13 anos 11 meses 3 dias
Microchip",SHIH-TZU,,,,,,,Pequena_sangue_(abril_2025).pdf
Boris,"9,500",Macho,"12 anos, 9 meses, 30 dias
Pelagem",Pug,,,,,,,Perfil Bioquímico - DOG SAÚDE - Boris - Cevalli.pdf
,,Macho,"12a 10m 0d 
 EXAME HEMOGRAMA ",Pug ,,,,,,,PERFIL NUTROLOGIA BORIS.pdf
,,,,,,,,,,,Perfil sofa 1411 Sophi.pdf
,,F,"4a
Proprietário",Idade: 4a,,,,,,,Pipoca_30jun24.pdf
CARLOTA,"9,750",Fêmea,"12 anos, 18 dias
Pelagem",Lhasa apso,,,,,,,Probnp - Vcheck - CARLOTA - LUCIA.pdf
Sophia,6,Fêmea,"14 anos, 6 meses, 9 dias
Pelagem",SHIH-TZU,152 - 140 - 136,,118 - 110 - 116,,,,Prontuário Sophia- Marina.pdf
BUD,"16,900",Macho,"9 anos, 5 meses, 10 dias
Pelagem",Pastor de shetland,,,,,,,PROTEÍNA C REATIVA - BUD - FELIPPE (1).pdf
BUD,"17,500",Macho,"9 anos, 5 meses, 7 dias
Pelagem",Pastor de shetland,,,,,,,PROTEÍNA C REATIVA - BUD - FELIPPE.pdf
FRED,"6,600",Macho,"8 anos, 2 meses, 30 dias
Pelagem",Cavalier king charles spaniel,,,,,,,PROTEÍNA C REATIVA - FRED - ANA-1.pdf
FRED,"7,380",Macho,"8 anos, 2 meses, 27 dias
Pelagem",Cavalier king charles spaniel,,,,,,,PROTEÍNA C REATIVA - FRED - ANA.pdf
JUBA,"33,500",Fêmea,"10 anos, 8 meses, 9 dias
Pelagem",Chow chow,,,,,,,PROTEÍNA C REATIVA - JUBA - DESIREE (1).pdf
JUBA,"33,500",Fêmea,"10 anos, 8 meses, 7 dias
Pelagem",Chow chow,,,,,,,PROTEÍNA C REATIVA - JUBA - DESIREE.pdf
PANQUECA,"2,150",Fêmea,"7 anos, 21 dias
Pelagem",Biewer Terrier,,,,,,,PROTEÍNA C REATIVA - PANQUECA - MARLON.pdf
,,,,,,,,,,,Protocolo-003812.pdf
,,Fêmea,,Graziela Campos Garibaldi     CRMV-SP 59006 ,,,,,,,Pucca (Thais) 03-05.pdf
,,Fêmea,,Julia Vitoria De Almeida     CRMV-SP 70556 ,,,,,,,Pucca (Thais) 29-04.pdf
,,Fêmea,,Graziela Campos Garibaldi     CRMV-SP 59006 ,,,,,,,Pucca (Thais) Amostra pós-transfusão..pdf
Sophia,"6,000",Fêmea,"14 anos, 2 meses, 15 dias
Pelagem",SHIH-TZU,,,,,,,Radiografia - Sophia - Marina 2507.pdf
,,,,,,,,,,,Raio-x torácico - 25.09.24.pdf
,,,,,,,,,,,Raio-x torácico - 19.09.24 (1).pdf
,,Macho,"12a 10m 0d 
 EXAME RAIO X ",Pug ,,,,,,,RAIOX BORIS.pdf
AGE,"23,650",Macho,"4 anos, 3 meses, 17 dias
Pelagem",Chow chow,,,,,,,Receita - AGE - GABRIEL (1).pdf
AGE,"23,650",Macho,"4 anos, 3 meses, 17 dias
Pelagem",Chow chow,,,,,,,Receita - AGE - GABRIEL (2).pdf
AGE,"23,800",Macho,"4 anos, 3 meses, 17 dias
Pelagem",Chow chow,,,,,,,Receita - AGE - GABRIEL.pdf
BOB,"18,500",Macho,"15 anos, 2 meses, 7 dias
Pelagem",SEM RAÇA DEFINIDA,,,,,,,Receita - BOB - FELIPE.pdf
BUNJIRO,"40,900",Macho,"12 anos, 3 meses, 13 dias
Pelagem",SEM RAÇA DEFINIDA,,,,,,,Receita - BUNJIRO - VANESSA.pdf
CHARLOTTE,"12,200",Fêmea,"10 anos, 3 meses, 8 dias
Pelagem",SEM RAÇA DEFINIDA,,,,,,,Receita - CHARLOTTE - CRISTINA.pdf
DODÓ,"3,900",Fêmea,"6 anos, 22 dias
Pelagem",Spitz Alemão(Lulu da pomerania),,,,,,,Receita - DODÓ - TÂNIA (1).pdf
DODÓ,"3,900",Fêmea,"6 anos, 22 dias
Pelagem",Spitz Alemão(Lulu da pomerania),,,,,,,Receita - DODÓ - TÂNIA (2).pdf
DODÓ,"3,900",Fêmea,"6 anos, 22 dias
Pelagem",Spitz Alemão(Lulu da pomerania),,,,,,,Receita - DODÓ - TÂNIA.pdf
DUQUE,"26,700",Macho,"12 anos, 2 dias
Pelagem",SEM RAÇA DEFINIDA,,,,,,,Receita - DUQUE - ARMANDO (1).pdf
DUQUE,"26,700",Macho,"12 anos, 2 dias
Pelagem",SEM RAÇA DEFINIDA,,,,,,,Receita - DUQUE - ARMANDO (2).pdf
DUQUE,"26,700",Macho,"12 anos, 2 dias
Pelagem",SEM RAÇA DEFINIDA,,,,,,,Receita - DUQUE - ARMANDO.pdf
FRED,"6,850",Macho,"8 anos, 3 meses
Pelagem",Cavalier king charles spaniel,,,,,,,Receita - FRED - ANA (1).pdf
FRED,"6,850",Macho,"8 anos, 3 meses, 1 dia
Pelagem",Cavalier king charles spaniel,,,,,,,Receita - FRED - ANA (2).pdf
FRED,"6,600",Macho,"8 anos, 3 meses
Pelagem",Cavalier king charles spaniel,,,,,,,Receita - FRED - ANA.pdf
MARLEY,"37,000",Macho,"10 anos, 10 meses, 9 dias
Pelagem",Golden retriever,,,,,,,Receita - MARLEY - MARCIA.pdf
MAYA,"8,100",Fêmea,"6 anos, 3 meses, 30 dias
Pelagem",Pug,,,,,,,Receita - MAYA - PAULO (1).pdf
MEL,"11,300",Fêmea,"12 anos, 10 meses, 4 dias
Pelagem",SEM RAÇA DEFINIDA,,,,,,,Receita - MEL - AMALIA (1).pdf
MEL,"11,300",Fêmea,"12 anos, 10 meses, 4 dias
Pelagem",SEM RAÇA DEFINIDA,,,,,,,Receita - MEL - AMALIA (2).pdf
MEL,"11,300",Fêmea,"12 anos, 10 meses, 4 dias
Pelagem",SEM RAÇA DEFINIDA,,,,,,,Receita - MEL - AMALIA (6).pdf
MEL,"11,300",Fêmea,"12 anos, 10 meses, 4 dias
Pelagem",SEM RAÇA DEFINIDA,,,,,,,Receita - MEL - AMALIA.pdf
Murphy,"15,300",Macho,"5 anos, 4 meses, 5 dias
Pelagem",Cocker Spaniel Ingles,,,,,,,Receita - Murphy - Claudio.pdf
NINA,"14,100",Fêmea,"15 anos, 8 meses, 6 dias
Pelagem",SEM RAÇA DEFINIDA,,,,,,,Receita - NINA - ROBINEY (2).pdf
NINA,"14,100",Fêmea,"15 anos, 8 meses, 6 dias
Pelagem",SEM RAÇA DEFINIDA,,,,,,,Receita - NINA - ROBINEY (3).pdf
PUCCA,"3,400",Fêmea,"15 anos, 28 dias
Pelagem",Poodle médio,,,,,,,Receita - PUCCA - THAIS (1).pdf
PUCCA,"3,400",Fêmea,"15 anos, 28 dias
Pelagem",Poodle médio,,,,,,,Receita - PUCCA - THAIS (2).pdf
PUCCA,"3,400",Fêmea,"15 anos, 28 dias
Pelagem",Poodle médio,,,,,,,Receita - PUCCA - THAIS (3).pdf
PUCCA,"3,400",Fêmea,"15 anos, 28 dias
Pelagem",Poodle médio,,,,,,,Receita - PUCCA - THAIS (4).pdf
PUCCA,"3,400",Fêmea,"15 anos, 28 dias
Pelagem",Poodle médio,,,,,,,Receita - PUCCA - THAIS.pdf
RICOTA,"9,000",Fêmea,"11 anos, 8 dias
Pelagem",Yorkshire terrier,,,,,,,Receita - RICOTA - JOSE (1).pdf
RICOTA,"8,850",Fêmea,"11 anos, 8 dias
Pelagem",Yorkshire terrier,,,,,,,Receita - RICOTA - JOSE (2).pdf
RICOTA,"9,600",Fêmea,"11 anos, 6 dias
Pelagem",Yorkshire terrier,,,,,,,Receita - RICOTA - JOSE (3).pdf
RICOTA,"9,000",Fêmea,"11 anos, 8 dias
Pelagem",Yorkshire terrier,,,,,,,Receita - RICOTA - JOSE.pdf
SOFIA,"20,000",Fêmea,"15 anos, 10 meses, 17 dias
Pelagem",SEM RAÇA DEFINIDA,,,,,,,Receita - SOFIA - DANIELA (1).pdf
SOFIA,"20,000",Fêmea,"15 anos, 10 meses, 17 dias
Pelagem",SEM RAÇA DEFINIDA,,,,,,,Receita - SOFIA - DANIELA (3).pdf
Sophia,"5,600",Fêmea,"14 anos, 6 meses, 9 dias
Pelagem",Shih- Tzu,,,,,,,Receita - Sophia - Marina-1.pdf
Sophia,"5,250",Fêmea,"14 anos, 9 meses, 20 dias
Pelagem",Shih- Tzu,,,,,,,Receita - Sophia - Marina.pdf
DODÓ,"3,900",Fêmea,"6 anos, 22 dias
Pelagem",Spitz Alemão(Lulu da pomerania),,,,,,,RECOMENDAÇÕES AO PROPRIETÁRIO DO ANIMAL DIABÉTICO - DODÓ - TÂNIA.pdf
,,Macho,,Sara Gomes     CRMV-SP 64068 ,,,,,,,Regis (Suely) 20-09.pdf
,,Macho,,Camila Tavares De Oliveira     CRMV-SP 52607 ,,,,,,,Regis (Suely).pdf
,,Macho,,Fabricio Lorenzini     CRMV-SP 16917 ,,,,,,,Regis - Exames PLab - 23.01.24.PDF
,,,,,,,,,,,Regis - Ultrasonografia Abdominal - 24.01.24.pdf
,,,,,,,,,,,report (3)_241024_113932.pdf
,,,,,,,,,,,report - 2025-04-04T191521.802.pdf
,,,,,,,,,,,report-185.pdf
,,,,,,,,,,,report-20.pdf
,,,,,,,,,,,report-3.pdf
,,,"0A 0M 
  Data do Atendimento",,,,,,,,Resultado -CHORAO.pdf
,,,"5A 0M 
  Data do Atendimento",,,,,,,,Resultado0078626-CHORO.pdf
,,,"13A 0M 
  Data do Atendimento",,,,,,,,Resultado0097425-HOLLY.pdf
,,,"15A 0M 
  Data do Atendimento",,,,,,,,Resultado0097782-PUCCA.pdf
,,,"0A 0M 
  Data do Atendimento",,,,,,,,Resultado0097788-LETICIA.pdf
,,,"0A 0M 
  Data do Atendimento",,,,,,,,Resultado0097940-MATILDA.pdf
,,,"9A 1M 
  Data do Atendimento",,,,,,,,Resultado0098066-CHIQUINHA.pdf
,,,"0A 0M 
  Data do Atendimento",,,,,,,,Resultado0098173-MATE.pdf
,,,"9A 4M 
  Data do Atendimento",,,,,,,,Resultado0098230-CARAMELO.pdf
,,,"13A 5M 
  Data do Atendimento",,,,,,,,Resultado0098268-MATE (1).pdf
,,,"10A 2M 
  Data do Atendimento",,,,,,,,Resultado0098926-MEG.pdf
,,,,,144,,140,,,,Resumo de Internação (2)-2.pdf
,,,,,,,,,,,Reticulócitos - 25.09.24.pdf
,,Fêmea,,Graziela Campos Garibaldi     CRMV-SP 59006 ,,,,,,,Ricota Maria (Jose) 07-05.pdf
,,Fêmea,,Carolina Canales     CRMV-SP 72930 ,,,,,,,Ricota maria (Jose) 08-05.pdf
,,Fêmea,,Carolina Canales     CRMV-SP 72930 ,,,,,,,Ricota Maria (Jose) Cultura.pdf
Sophia,"6,000",Fêmea,"14 anos, 6 meses, 1 dia
Pelagem",SHIH-TZU,,,,,,,rx 1111.pdf
,,Fêmea,,219.393.428-21 ,,,,,,,RX Nina.pdf
Sophia,"6,000",Fêmea,"14 anos, 6 meses, 1 dia
Pelagem",SHIH-TZU,,,,,,,rx torax sophia admissao.pdf
,,,"12 ANOS
ID",SRD,,,,,,,RX-1.pdf
,,M,"13A
Proprietário",Idade: 13A,,,,,,,Régis_04fev24.pdf
,,Macho,,Lucas Fornari     CRMV-SP 50216 ,,,,,,,Sam (Sofia) 22-2.pdf
,,Macho,,Marianna Leite Siqueira     CRMV-SP 61.708 ,,,,,,,Sam (Sofia) 24-02.pdf
,40,,"7 ANOS
ID",LABRADOR,,,,,,,SdE4Ua8JxJCjRt1x1sBuG34ubjPbYv8LZHheTg4t.pdf
,,Fêmea,,Beatriz Tereno De Souza Pascoinelli     CRMV-SP 51619 ,,,,,,,Shakira (Adriane) 05-12.pdf
,,Macho,,Lais Ribeiro Da Silva     CRMV-SP 53.184 ,,,,,,,Sheik (Valquiaria) 28-10.pdf
,,Macho,,Lais Ribeiro Da Silva     CRMV-SP 53.184 ,,,,,,,Sheik (Valquiria) .pdf
,,,,,,,,,,,SHEIK (VALQUIRIA).pdf
,,Fêmea,,Larissa Alves Da Silva     CRMV-SP 69712 ,,,,,,,Sophia (Marina) 27-11.pdf
,,Fêmea,,Larissa Alves Da Silva     CRMV-SP 69712 ,,,,,,,Sophia (Marina).pdf
,,,,,,,,,,,sophia 0911.pdf
,,F,"14a
Proprietário",Idade: 14a,,,,,,,Sophia_FR_24nov24.pdf
,,F,"14a
Proprietário",Idade: 14a,,,,,,,Sophia_Hemograma_24nov24.pdf
,,F,"6a
Proprietário",Idade: 6a,,,,,,,Sophie_11mai25.pdf
,,Macho,,Vanessa Perrotta     CRMV-SP 18309 ,,,,,,,Stitch (Antonio).pdf
,,,,,,,,,,,teLVZPr430iVZXqEYrVG6EQHBfLO9udbrVY4fqGv.pdf
Sophia,"6,000",Fêmea,"14 anos, 5 meses, 30 dias
Pelagem",SHIH-TZU,,,,,,,tfast toracico - internamento.pdf
,,,"12 ANOS
ID",SRD,,,,,,,TOMO-1.pdf
,,F,"13 anos 9 meses 25 dias
Microchip",SHIH-TZU,,,,,,,Tomografia_Pequena_março-2025.pdf
,,,,,,,,,,,trigl.pdf
,,Macho,"7a 5m 27d 
 Sexo",Srd Felino ,,,,,,,U118O5L1264030.PDF
,,Fêmea,"URÉIA 
 Valores de Referência     
   Material",Husky Siberiano ,,,,,,,U179O2L35421.pdf
,,Fêmea,"HEMOGRAMA COMPLETO 
 Vlr Ref",Husky Siberiano ,,,,,,,U179O2L37107.pdf
,,Macho,"HEMOGRAMA COMPLETO 
 Vlr Ref",Cavalier King Charles Spa ,,,,,,,u58o1l263408pdf (1).pdf
,,Macho,"HEMOGRAMA COMPLETO 
 Vlr Ref",Srd Canino ,,,,,,,U58O1L263446.PDF
,,Macho,"HEMOGRAMA COMPLETO 
 Vlr Ref",Srd Canino ,,,,,,,U58O1L264842.PDF
,,Macho,,Caroline Aparecida Goncalves     CRMV-SP 37420 ,,,,,,,U68O1L35422.pdf
,,Macho,,Karine Germano     CRMV-SP 21.733 ,,,,,,,U68O1L42725.PDF
,,Fêmea,"5a 0m 0d 
 Proprietário",Spitz Alemao ,,,,,,,U6O1L340777.PDF
,,Fêmea,"14a 6m 0d 
 Proprietário",Yorkshire ,,,,,,,U6O1L340960.PDF
,,Macho,"3a 9m 3d 
 Canina 
 Rua São Sebastião, 601 ",Kuvasz ,,,,,,,U8O1L308151.pdf
,,Macho,"9a 0m 2d 
 Canina 
 Rua São Sebastião, 601 ",Labrador Retriever ,,,,,,,U8O1L308697PDF_250513_030618.pdf
,,Macho,"3a 10m 9d 
 Canina 
 Rua São Sebastião, 601 ",Kuvasz ,,,,,,,U8O1L309738.pdf
,,Macho,"3a 10m 9d 
 Canina 
 Rua São Sebastião, 601 ",Kuvasz ,,,,,,,U8O1L309742.pdf
,,Macho,"9a 5m 18d 
 Hemograma 
 Vlr Ref",Labrador Retriever ,,,,,,,U8O1L315709PDF_250513_030440.pdf
,,Fêmea,"10a 6m 27d 
 Hemograma 
 Vlr Ref",Chow Chow ,,,,,,,U8O1L318353.pdf
,,Macho,"10a 1m 0d 
 Hemograma 
 Vlr Ref",Labrador Retriever ,,,,,,,U8O1L324362PDF_250509_191332.pdf
,,Masculino,,Realização: 17-mar-25 11:42,,,,,,,ultrassom Bob 17.03.pdf
Alasca,"70,000",Macho,"4 anos, 3 meses, 2 dias
Pelagem",SRD CANINO,,,,,,,Ultrassonografia - Alasca - Celina.pdf
,,Macho,"12a 10m 0d 
 EXAME ULTRASSOM 
 Fígado",Pug ,,,,,,,US BORIS.pdf
,,,,,,,,,,,US GIGI.pdf
,,Fêmea,,219.393.428-21 ,,,,,,,USG Nina.pdf
,,F,"12 anos

Responsável",Poodle,,,,,,,USG RUTH - NAUS.pdf
,,,"13 ANOS
ID",SHIH TZU,,,,,,,vwgKdVStGEtpBt5y7cVfqK9ISS7n1IDY2X4RErWm.pdf
AGE,"23,800",Macho,"4 anos, 3 meses, 17 dias
Pelagem",Chow chow,112 - 124 ,,140 - 140 ,,,,____ Evolução Clínica do Paciente ____ - AGE - GABRIEL.pdf
ALASKA,"70,000",Macho,"4 anos, 3 meses, 4 dias
Pelagem",Pastor maremano,168 - 92 ,64 - 52 ,120 - 110 ,,,20,____ Evolução Clínica do Paciente ____ - ALASKA - CELINA (3).pdf
ALASKA,70,Macho,"4 anos, 3 meses, 3 dias
Pelagem",Pastor maremano,136 - 136 ,16 - 24 ,130 - 140 ,,95,27,____ Evolução Clínica do Paciente ____ - ALASKA - CELINA.pdf
AMY,"35,000",Fêmea,"11 anos, 4 meses, 11 dias
Pelagem",Pastor alemão,128 108 - 110 ,28 - 44 - 38 ,140 - 140 - 120 -120 ,,96,34,____ Evolução Clínica do Paciente ____ - AMY - ALEXEI (1).pdf
AMY,"33,150",Fêmea,"11 anos, 4 meses, 12 dias
Pelagem",Pastor alemão,80 - 64  - 104 ,,120 - 110 - 120 ,,96,,____ Evolução Clínica do Paciente ____ - AMY - ALEXEI.pdf
ANA,"3,900",Fêmea,"9 anos, 11 meses, 12 dias
Pelagem",Yorkshire terrier,120 - 120 ,,,,100,13,____ Evolução Clínica do Paciente ____ - ANA - ANA-1.pdf
ANA,"3,600",Fêmea,"9 anos, 11 meses, 13 dias
Pelagem",Yorkshire terrier,120 -  110 - 100 ,,,,92,,____ Evolução Clínica do Paciente ____ - ANA - ANA-2.pdf
ANA,"3,900",Fêmea,"9 anos, 11 meses, 12 dias
Pelagem",Yorkshire terrier,140-144,60 ,150 ,,91,,____ Evolução Clínica do Paciente ____ - ANA - ANA.pdf
Audrey,"6,250",Fêmea,"15 anos, 3 meses, 15 dias
Pelagem",SEM RAÇA DEFINIDA,180 - 56 - 112  ,52 - 20 - 32  ,110 - 110 - 140  ,,,34,____ Evolução Clínica do Paciente ____ - AUDREY - JESSICA (1).pdf
Audrey,"6,250",Fêmea,"15 anos, 3 meses, 15 dias
Pelagem",SEM RAÇA DEFINIDA,100 - 144 ,38 - 40 ,100 - 130 ,,,32,____ Evolução Clínica do Paciente ____ - Audrey - JESSICA.pdf
BENNY,"19,000",Macho,"10 anos, 9 meses, 25 dias
Pelagem",SEM RAÇA DEFINIDA,80 - 88 ,20 - 16 ,110 - 130 ,,,,____ Evolução Clínica do Paciente ____ - BENNY - CAUÊ-1.pdf
BENNY,"19,000",Macho,"10 anos, 9 meses, 24 dias
Pelagem",SEM RAÇA DEFINIDA,76 - 100 - 96 ,32 - 36 - 24 ,150 - 140 - 140 ,,100,,____ Evolução Clínica do Paciente ____ - BENNY - CAUÊ.pdf
BIA,"2,100",Fêmea,"14 anos, 6 meses, 17 dias
Pelagem",Yorkshire terrier,104 - 116 - 108 ,,140 - 150 - 150 ,,,,____ Evolução Clínica do Paciente ____ - BIA - JUSSARA (1).pdf
BIA,"2,100",Fêmea,"14 anos, 6 meses, 16 dias
Pelagem",Yorkshire terrier,132 - 128 - 120 ,36 - 32 - 28 ,140 - 130 - 120 ,,,,____ Evolução Clínica do Paciente ____ - BIA - JUSSARA-1.pdf
BIA,"2,100",Fêmea,"14 anos, 6 meses, 16 dias
Pelagem",Yorkshire terrier,,,,,96,,____ Evolução Clínica do Paciente ____ - BIA - JUSSARA-2.pdf
BIA,"2,400",Fêmea,"14 anos, 6 meses, 17 dias
Pelagem",Yorkshire terrier,108 - 132 - 140 ,44 - 36 - 32 ,150 - 140 - 150 ,,96,,____ Evolução Clínica do Paciente ____ - BIA - JUSSARA-3.pdf
BIA,"2,100",Fêmea,"14 anos, 6 meses, 15 dias
Pelagem",Yorkshire terrier,,,,,98,,____ Evolução Clínica do Paciente ____ - BIA - JUSSARA.pdf
Bidu,"11,000",Macho,"13 anos, 7 meses, 25 dias
Pelagem",SEM RAÇA DEFINIDA,144 ,28 ,140 ,,,,____ Evolução Clínica do Paciente ____ - Bidu - Glaucia (1).pdf
